time [s], T1 [K], T2 [K] 
105.456, 3.211309, 32.770489 
106.256, 3.21454, 32.782177 
107.056, 3.239345, 32.778389 
107.856, 3.279867, 32.778259 
108.636, 3.377454, 32.771152 
109.437, 3.410997, 32.766968 
110.216, 3.371862, 32.761787 
111.017, 3.327706, 32.762718 
111.816, 3.241434, 32.765442 
112.618, 3.208, 32.770954 
113.418, 3.220519, 32.77713 
114.197, 3.249144, 32.780979 
114.997, 3.286974, 32.774937 
115.798, 3.385619, 32.771286 
116.599, 3.402556, 32.766502 
117.399, 3.353491, 32.763981 
118.198, 3.276296, 32.764111 
118.998, 3.213946, 32.770885 
119.799, 3.211535, 32.774139 
120.598, 3.234723, 32.776463 
121.397, 3.273598, 32.774803 
122.177, 3.364112, 32.773743 
122.978, 3.411565, 32.767235 
123.779, 3.377886, 32.758137 
124.579, 3.317818, 32.756474 
125.378, 3.234056, 32.75309 
126.178, 3.208538, 32.769691 
126.979, 3.22364, 32.771549 
127.758, 3.25365, 32.774937 
128.558, 3.294375, 32.771286 
129.357, 3.395205, 32.77195 
130.157, 3.399609, 32.759598 
130.956, 3.350747, 32.755943 
131.717, 3.271136, 32.757805 
132.495, 3.230756, 32.76099 
133.261, 3.209252, 32.765705 
134.06, 3.212676, 32.773209 
134.855, 3.234507, 32.776463 
135.636, 3.268374, 32.772812 
136.415, 3.329694, 32.772282 
137.217, 3.402125, 32.768032 
138.015, 3.392699, 32.760525 
138.795, 3.34229, 32.758137 
139.594, 3.279624, 32.76099 
140.374, 3.214747, 32.770618 
141.256, 3.209017, 32.772545 
142.115, 3.257226, 32.770489 
142.915, 3.396757, 32.77454 
143.713, 3.39565, 32.768826 
144.491, 3.34596, 32.76152 
145.272, 3.287821, 32.761921 
146.052, 3.227769, 32.764111 
146.852, 3.20684, 32.77195 
147.653, 3.218264, 32.776066 
148.473, 3.247998, 32.781776 
149.312, 3.325965, 32.775932 
150.131, 3.405367, 32.770088 
150.949, 3.346829, 32.765705 
151.752, 3.249968, 32.765041 
152.551, 3.207839, 32.780251 
153.37, 3.217643, 32.780647 
154.17, 3.252343, 32.790741 
154.969, 3.315146, 32.78244 
155.749, 3.405582, 32.772945 
156.529, 3.397445, 32.769691 
157.329, 3.360796, 32.764244 
158.127, 3.289022, 32.765442 
158.929, 3.219056, 32.777992 
159.726, 3.208943, 32.777527 
160.527, 3.227492, 32.78503 
161.326, 3.263482, 32.781776 
162.128, 3.343027, 32.780514 
162.925, 3.409783, 32.772945 
163.726, 3.373887, 32.767365 
164.528, 3.312605, 32.770222 
165.326, 3.228606, 32.769955 
166.104, 3.206757, 32.780647 
166.884, 3.216303, 32.787952 
167.684, 3.23557, 32.796322 
168.484, 3.277511, 32.793465 
170.544, 3.277736, 32.794128 
172.022, 3.272167, 32.798512 
172.825, 3.340445, 32.789082 
173.628, 3.41006, 32.784233 
174.447, 3.37139, 32.77985 
175.248, 3.290076, 32.780647 
176.068, 3.217633, 32.789413 
176.884, 3.212045, 32.790741 
177.684, 3.240919, 32.799046 
178.484, 3.288843, 32.797249 
179.284, 3.389172, 32.78928 
180.085, 3.398439, 32.782043 
180.884, 3.348637, 32.780846 
181.686, 3.270436, 32.780514 
182.485, 3.210177, 32.782707 
183.285, 3.211033, 32.796852 
184.085, 3.234742, 32.800705 
184.883, 3.274993, 32.794262 
185.685, 3.368979, 32.788551 
186.484, 3.405908, 32.777992 
187.285, 3.362263, 32.772812 
188.085, 3.291844, 32.775269 
188.887, 3.21866, 32.783836 
189.685, 3.209044, 32.788818 
190.485, 3.228606, 32.795788 
191.284, 3.264513, 32.800838 
192.084, 3.34507, 32.793995 
192.887, 3.409942, 32.787357 
193.685, 3.371633, 32.783703 
194.485, 3.31139, 32.782043 
195.285, 3.228905, 32.78656 
196.083, 3.206895, 32.797649 
196.883, 3.221546, 32.80595 
197.663, 3.253521, 32.802696 
198.465, 3.297146, 32.803558 
199.265, 3.396977, 32.793598 
200.064, 3.39368, 32.790478 
200.863, 3.342843, 32.787888 
201.663, 3.261852, 32.787754 
202.464, 3.209035, 32.796585 
203.262, 3.212787, 32.802963 
204.061, 3.235713, 32.812527 
204.861, 3.277538, 32.806946 
205.662, 3.373833, 32.799709 
206.462, 3.403115, 32.797649 
207.241, 3.357279, 32.785961 
208.04, 3.306248, 32.789814 
208.84, 3.226645, 32.793331 
209.64, 3.206361, 32.799175 
210.44, 3.222706, 32.804489 
211.238, 3.253682, 32.806282 
212.041, 3.321476, 32.800838 
212.839, 3.407575, 32.794994 
213.618, 3.382123, 32.789814 
214.417, 3.34215, 32.785099 
215.219, 3.26159, 32.786823 
216.016, 3.20817, 32.798378 
216.816, 3.212856, 32.801502 
