time [s], T1 [K], T2 [K] 
88651.838, 199.967407, 270.207886 
88652.956, 199.968399, 270.206848 
88654.015, 199.967514, 270.205933 
88654.916, 199.972168, 270.207184 
88655.711, 199.97554, 270.205719 
88656.61, 199.974915, 270.204102 
88657.509, 199.974655, 270.206757 
88658.408, 199.976562, 270.210236 
88659.367, 199.978836, 270.20932 
88660.367, 199.976685, 270.20993 
88661.443, 199.981216, 270.211151 
88662.522, 199.978622, 270.207581 
88663.66, 199.980453, 270.207489 
88664.778, 199.981339, 270.210449 
88665.955, 199.982834, 270.208801 
88667.134, 199.985107, 270.213104 
88668.312, 199.984192, 270.213104 
88669.47, 199.987488, 270.212585 
88670.61, 199.989731, 270.211975 
88671.727, 199.989731, 270.21228 
88672.885, 199.990311, 270.214111 
88674.043, 199.995178, 270.214233 
88675.162, 199.992584, 270.215881 
88676.28, 199.992584, 270.215668 
88677.399, 199.99939, 270.213287 
88678.556, 200.000519, 270.213287 
88679.715, 199.999832, 270.214325 
88680.873, 200.003433, 270.214661 
88681.992, 200.003647, 270.21637 
88683.131, 200.005463, 270.215149 
88684.288, 200.006592, 270.213715 
88685.446, 200.006485, 270.214661 
88686.564, 200.008148, 270.218628 
88687.722, 200.007828, 270.218719 
88688.84, 200.012085, 270.222809 
88689.958, 200.010727, 270.219727 
88691.077, 200.014328, 270.217285 
88692.195, 200.010986, 270.217407 
88693.333, 200.018509, 270.221588 
88694.451, 200.0177, 270.218842 
88695.609, 200.021088, 270.220459 
88696.768, 200.020645, 270.219849 
88697.926, 200.021988, 270.22467 
88699.045, 200.024567, 270.223328 
88700.185, 200.026276, 270.220673 
88701.325, 200.025497, 270.227448 
88702.483, 200.027145, 270.22403 
88703.6, 200.025497, 270.222626 
88704.717, 200.029297, 270.223633 
88705.836, 200.033112, 270.223938 
88706.975, 200.031097, 270.224365 
88708.133, 200.031433, 270.2258 
88709.274, 200.03862, 270.224365 
88710.43, 200.034698, 270.2258 
88711.588, 200.035934, 270.223145 
88712.746, 200.036041, 270.226196 
88713.886, 200.039749, 270.228668 
88715.043, 200.039093, 270.225494 
88716.162, 200.043808, 270.224762 
88717.32, 200.043015, 270.226898 
88718.439, 200.045486, 270.225983 
